title|offer_type|desc|size|price|gradnja|adaptacija
Ne spreglejte|trisobno|74,5 m2, 3-sobno, zgrajeno l. 1964, adaptirano l. 2020, visoko pritličje, oddamo. Cena: 890,00 EUR/mes|74,50 m2|890,00 €/mesec|1964|2020
Ne spreglejte|trisobno|77 m2, 3-sobno, zgrajeno l. 1969, adaptirano l. 2015, 2/5 nad., 3-sobno, adaptirano l. 2015, 2/5 nad., odlična mirna lok...|77,00 m2|750,00 €/mesec|1969|2015
Ne spreglejte|dvosobno|60 m2, 2-sobno, zgrajeno l. 1935, adaptirano l. 2018, 2/2 nad., Stanovanje Velana Living, oddamo. Cena: 850,00 EUR/mes|60,00 m2|850,00 €/mesec|1935|2018
BEŽIGRAJSKI DVOR, PERIČEVA ULICA 1|enosobno|28 m2, 1-sobno, zgrajeno l. 1950, adaptirano l. 2007, 1-sobno stanovanje Ljubljana Bežigrad, oddamo. Cena: cca 400,00 EU...|28,00 m2|400,00 €/mesec|1950|2007
BIZOVIK|trisobno|100 m2, 3-sobno, zgrajeno l. 1977, adaptirano l. 2020, Obnovljeno, svetlo trisobno stanovanje z dvema balkonoma in tremi...|100,00 m2|750,00 €/mesec|1977|2020
BIZOVIK|petsobno|105,5 m2, 5 in večsobno, zgrajeno l. 2005, oddamo. Cena: 1.500,00 EUR/mes|105,50 m2|1.500,00 €/mesec|2005|nan
BRDO|Soba|15 m2, soba, zgrajena l. 1970, adaptirana l. 2003, P/3 nad., s 1.11.2020 oddam sobo, oddamo. Cena: max. 250,00 EUR/mes|15,00 m2|250,00 €/mesec|1970|2003
BRDO|Soba|15 m2, soba, zgrajena l. 2002, adaptirana l. 2020, 120 m2 zemljišča, 2/2 nad., + še 2 dvoposteljni sobi na 2 nadstropjih...|15,00 m2|200,00 €/mesec|2002|2020
BRDO|dvosobno|40 m2, 2-sobno, zgrajeno l. 2002, 2. nad., oddamo. Cena: 600,00 EUR/mes|40,00 m2|600,00 €/mesec|2002|nan
BRDO|enosobno|49,2 m2, 1-sobno, zgrajeno l. 2015, 1/5 nad., BRDO-ZELENI GAJ, oddam popolnoma opremljeno stanovanje, dve pokriti lastni...|49,20 m2|640,00 €/mesec|2015|nan
